CODIGO;ROTA;CGC;I.EST;RAZ�O;FANTASIA;RUA;NR;CIDADE;UF;CEP;BAIRRO;TELEFONE;SUBCANAL;SEMANA;SEQUENCIA;EMAIL;TABELA;GRUPO NEGOCIO;VENDEDOR;SUPERVISOR;AREA;FORMA PGTO ORIGINAL;DIAS M�XIMOS;ROTATIVIDADE;DATA CADASTRO;DATA INATIVA��O;ESTATUS;CLUSTER/GEC;REF PET;LS;RGB;ULT.COMPRA;LIMITE CR�DT.;ACR�SCIMO;VENDEDOR 2;SEMANA 2;ROTATIVIDADE 2;DISTRIBUIDORA;LATITUDE;LONGITUDE;NAO PERMITE ALT.REST.ATUAL;NAO COBRAR CUSTO COB. BOLETO;cod.cid;FORMA PGTO ATUAL;COBERTURA;TELEFONE 2; TELEFONE 3; TELEFONE 4;PROMOTOR;PROMOTOR EQ2; CANAL; ESP�CIE
11;1;74050419904;49330960;VALMOR FRANCISCO CAUDURO                                    ;ACOUGUE DO GAUCHO             ;R ARGENTINA                             ;2741;SANTA HELENA             ;PR;85892000;CIDADE ALTA              ;45998598516;MERCEARIA                     ;SEG,QUI             ;20;                                                                                                    ;25;6;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 2/12/19;INATIVO       ;OURO                     ;SIM;SIM;SIM;30/11/19;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45088093127;0;0;0;0;TRADICIONAL                   ;F
12;1;2618945000105;9016239701;NEURI REFATI                                                ;CANCHA DE BOCHA               ;RUA JOSE BIESDORF                       ;SN   ;SANTA HELENA             ;PR;85892000;CIDADE ALTA              ;0;LANCHONETE                    ;SEG,QUI             ;600;                                                                                                    ;3;4;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;30/03/11;INATIVO       ;PRATA                    ;SIM;NAO;NAO; 8/11/02;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;J
13;1;82541939000128;4260172617;MERCADO SOMAVILLA LTDA ME                                   ;MERCADO SOMAVILLA             ;AV RIO GRANDE DO SUL                    ;2580;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032681860;SUPERMERCADO 1-4 Cks          ;    ;60;                                                                                                    ;73;2;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 5/10/18;INATIVO       ;PRATA                    ;SIM;SIM;SIM;28/07/18;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;HIPER & SUPER                 ;J
14;1;75222000000135;4260122512;MARIO ANTONIO MAYER                                         ;BAR E BOCHA MARINEL           ;RUA ARGENTINA,                          ;2540;SANTA HELENA             ;PR;85892000;ALTO ALEGRE              ;0;BAR BOTECO                    ;SEG,QUI             ;40;                                                                                                    ;1;0;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;25/11/16;INATIVO       ;PRATA                    ;SIM;SIM;NAO;31/05/05;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;J
15;1;5974053000127;9032233080;LANCHONETE FRONTEIRA LTDA                                   ;RESTAURANTE FRONTEIR          ;RUA ARGENTINA                           ;SN   ;SANTA HELENA             ;PR;85892000;PQ INDUSTRIAL            ;45032682341;RESTAURANTE                   ;SEG,QUI             ;31;                                                                                                    ;1;0;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;24/08/09;INATIVO       ;PRATA                    ;SIM;SIM;NAO;17/08/09;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;J
16;1;4027450000129;9021826917;J P GASPERINI &  CIA LTDA                                   ;ITAIPU                        ;AV  BRASIL                              ;2230;SANTA HELENA             ;PR;85892000;CENTRO                   ;4532681330;SUPERMERCADO 5 -19 Cks        ;SEG,QUI             ;430;itaipu_jpsantahelena@hotmail.com                                                                    ;7;1;006-ALDAIR CARLOS DAL'SOTTO             ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ; 1/05/00;        ;ATIVO         ;CUSTOMIZADOS             ;SIM;SIM;SIM; 9/06/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.86599320;-054.33742350;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45998440120;0;0;0;0;HIPER & SUPER                 ;J
17;1;8371587000157;9038633586;VALDONIR L WEIZENMANN                                       ;BAR DO TITI                   ;RUA BELO HORIZONTE                      ;601;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032683599;BAR BOTECO                    ;SEG,QUI             ;220;                                                                                                    ;1;0;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 3/02/09;INATIVO       ;PRATA                    ;SIM;SIM;NAO;30/01/09;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45091219283;0;0;0;0;MERCADO FRIO                  ;J
18;1;79112306000190;4260002703;CEREALISTA OESTE                                            ;MOINHO SIRIEMA                ;                                        ;SN   ;SANTA HELENA             ;PR;85892000;CENTRO                   ;45088083567;MERCEARIA                     ;SEG,QUI             ;620;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 7/02/02;INATIVO       ;PRATA                    ;NAO;NAO;NAO;19/12/00;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;TRADICIONAL                   ;J
19;1;77920325900;              ;PONTO PAO LTDA.                                             ;PADARIA FAVO & MEL            ;AV. PARANA,                             ;2160;;PR;85892000;VILA RICA                ;0;;;720;                                                                                                    ;3;4;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;11/12/17;INATIVO       ;BRONZE                   ;NAO;SIM;NAO;30/11/17;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;TRADICIONAL                   ;F
20;1;68799543000154;4260182841;IRACEMA A. M. FELTEN                                        ;LANC. COSA NOSTRA             ;AV. BRASIL,                             ;542;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002681505;LANCHONETE                    ;SEG,QUI             ;640;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;22/08/01;INATIVO       ;PRATA                    ;SIM;NAO;NAO;        ;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;J
21;1;5103540000114;9026196822;ELVENI M DEWES E CIA LTDA                                   ;SKOL MULTIMARCAS              ;AV BRASIL                               ;900;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032682332;EVENTOS                       ;SEG,QUI             ;440;                                                                                                    ;85;5;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;23/11/15;INATIVO       ;PRATA                    ;SIM;SIM;SIM;20/11/15;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;NAO;45088212628;0;0;0;0;DIFERENCIADOS                 ;J
22;1;2811759000180;9016975076;COMERCIAL DE ALIMENTOS ROMAN LTDA                           ;SUPERME SANTA HELENA          ;AV CURITIBA                             ;581;;PR;85892000;CENTRO                   ;4532681493;SUPERMERCADO 5 -19 Cks        ;SEG,QUI             ;450;super_santahelena@hotmail.com                                                                       ;7;1;006-ALDAIR CARLOS DAL'SOTTO             ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ; 1/05/00;        ;ATIVO         ;DIAMANTE                 ;SIM;SIM;SIM; 9/06/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.86598820;-054.33742340;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45998440132;0;0;0;0;HIPER & SUPER                 ;J
23;1;6055926000160;ISENTO        ;ASSOCIACAO EDUCACIONAL SANTO ANTONIO                        ;COLEGIO SANT ANTONIO          ;AV DEPUTADO ARNALDO BUSSATO             ;881;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032683200;LANCHONETE                    ;SEG,QUI             ;210;                                                                                                    ;3;4;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 4/09/14;INATIVO       ;PRATA                    ;SIM;NAO;NAO; 1/09/14;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;JC
24;3;83217240944;59367307;IRACEMA POLTRONIERI SGOBI                                   ;BAR SAARA                     ;RUA SAO SEBASTIAO                       ;SN   ;VERA CRUZ DO OESTE       ;PR;85845000;CENTRO                   ;0;LOJA DE CONVENIENCIA          ;TER,SEX             ;300;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 3/07/10;INATIVO       ;PRATA                    ;SIM;SIM;SIM; 5/03/10;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;28559;Livre                                                                                                                   ;SIM;0;0;0;0;0;C-STORE                       ;F
25;1;0;              ;FABIO DEMENIGHI                                             ;CHALE                         ;AV. CURITIBA                            ;SN   ;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002684053;BAR BOTECO                    ;SEG,QUI             ;350;                                                                                                    ;1;0;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;13/05/06;INATIVO       ;PRATA                    ;SIM;SIM;NAO;15/03/06;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;F
26;1;6474698985;              ;NOELI TEREZINHA VAZ DOS SANTOS                              ;LANC. ANCORAS                 ;AV. CURITIBA,                           ;391;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002681782;LANCHONETE                    ;SEG,QUI             ;330;                                                                                                    ;3;4;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 5/09/17;INATIVO       ;BRONZE                   ;SIM;SIM;SIM;17/08/17;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;F
27;1;51293447900;              ;DELSA CAUDURO                                               ;COL. CASTELO BRANCO           ;RUA MINAS GERAIS                        ;SN   ;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002671755;LANCHONETE                    ;SEG,QUI             ;360;                                                                                                    ;1;0;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;11/06/05;INATIVO       ;PRATA                    ;SIM;NAO;NAO; 3/11/04;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;F
28;1;77611861000130;ISENTO        ;APMF ESCOLA GRACILIANO RAMOS                                ;APP GRACILIANO RAMOS          ;RUA MINAS GERAIS                        ;1251;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032682728;LANCHONETE                    ;TER                 ;400;                                                                                                    ;1;0;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;21/07/09;INATIVO       ;PRATA                    ;SIM;NAO;NAO;15/06/09;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;JC
29;1;95728366000198;4260185603;AS.MUN. PEQ. AGRIC. STA HELENA                              ;AMPAS                         ;AV. PARANA                              ;SN   ;SANTA HELENA             ;PR;85892000;CENTRO                   ;45002681678;EVENTOS                       ;SEG,QUI             ;670;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;25/01/02;INATIVO       ;PRATA                    ;SIM;SIM;SIM; 8/12/00;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;NAO;0;0;0;0;0;DIFERENCIADOS                 ;J
30;1;0;              ;JOAO BATISTA FIORIN                                         ;MOINHO                        ;AV RIO GRANDE DO SUL                    ;SN   ;SANTA HELENA             ;PR;85892000;CENTRO                   ;0;MERCEARIA                     ;SEG,QUI             ;150;                                                                                                    ;1;0;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 4/08/15;INATIVO       ;PRATA                    ;NAO;NAO;NAO; 8/05/04;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;TRADICIONAL                   ;J
31;1;30276080963;1771521;VILLI ERLI LENZ                                             ;BAR UNIAO                     ;RUA ANGELO CATANI                       ;SN   ;SANTA HELENA             ;PR;85892000;CENTRO                   ;45099941967;BAR BOTECO                    ;SEG,QUI             ;390;                                                                                                    ;1;0;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;24/03/11;INATIVO       ;PRATA                    ;SIM;SIM;NAO;17/03/11;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45091078987;0;0;0;0;MERCADO FRIO                  ;F
32;2;0;              ;CACHORRO QUENTE SAO JOSE                                    ;CACHORRO QUENTE               ;AV. JOSE BONIFACIO                      ;SN   ;SAO JOSE DAS PALMEIRAS   ;PR;85898000;CENTRO                   ;0;LANCHONETE                    ;TER                 ;570;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 6/02/02;INATIVO       ;PRATA                    ;SIM;NAO;NAO; 4/09/01;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;25456;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;J
33;2;5314325000162;9026684380;S M SCHNEIDER ME                                            ;RESTAURANTE O TIMONEIRO       ;RUA PARAGUAI                            ;1250;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032682058;CHURRASCARIA                  ;SEG,QUI             ;20;restaurantetimoneiro@yahoo.com.br                                                                   ;3;4;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ; 1/05/00;        ;ATIVO         ;PRATA                    ;SIM;SIM;SIM; 9/06/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.85768730;-054.33318380;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45988222283;0;0;0;0;MERCADO FRIO                  ;J
34;1;3590158000157;9026096526;J Z  DA COSTA                                               ;BAR RODOVIARIA                ;RUA RIO DE JANEIRO                      ;1401;SANTA HELENA             ;PR;85892000;CENTRO                   ;0;BAR BOTECO                    ;SEG,QUI             ;460;                                                                                                    ;1;0;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;25/02/09;INATIVO       ;PRATA                    ;SIM;SIM;NAO;19/02/09;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;J
35;7;3802598000120;9020934350;E.GOLDONI & CIA LTDA ME                                     ;HOTEL E CHURR GDE LG          ;AV BRASIL                               ;1321;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032681281;HOTEL                         ;SEG,QUI             ;30;                                                                                                    ;3;4;004-ADEMIR FOCHEZATTO                   ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;25/05/19;INATIVO       ;BRONZE                   ;SIM;SIM;SIM;26/04/19;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;NAO;0;0;0;0;0;DIFERENCIADOS                 ;J
36;7;76454677000161;4260053103;R SIMIONI E SIMIONI LTDA                                    ;HOTEL SIMIONI                 ;AV BRASIL                               ;1281;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032681343;HOTEL                         ;SEG,QUI             ;740;                                                                                                    ;35;8;004-ADEMIR FOCHEZATTO                   ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;20/07/12;INATIVO       ;PRATA                    ;SIM;SIM;SIM;18/05/12;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;NAO;45032682205;0;0;0;0;DIFERENCIADOS                 ;J
37;7;77768810000117;4260016089;LANCHONTE PALUDO LTDA ME                                    ;LANCHONETE RODOVIARI          ;RUA RIO DE JANEIRO                      ;1401;SANTA HELENA             ;PR;85892000;CENTRO                   ;45999444365;BAR LANCHONETE                ;SEG,QUI             ;360;                                                                                                    ;65;9;004-ADEMIR FOCHEZATTO                   ;01-                                     ;0;Livre                                                                                                                   ;8;Semanal             ;        ;25/08/20;INATIVO       ;BRONZE                   ;SIM;SIM;SIM;22/04/20;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45999444365;4599443989;0;0;0;MERCADO FRIO                  ;J
