Filho;Pai;Avo
Tanqueray Gin Tonica;Tanqueray;Marca
Tanqueray Sevilla;Tanqueray;Marca
Therezopolis Ebenholz Dunkel;Therezopolis;Marca
Therezopolis Elfenbein Weissbier;Therezopolis;Marca
Therezopolis Gold Lager;Therezopolis;Marca
Therezopolis Jade IPA;Therezopolis;Marca
Therezopolis Or Blanc Witbier;Therezopolis;Marca
Therezopolis Rubine Bock;Therezopolis;Marca
Tiger Pilsen;Tiger;Marca
Topo Chico Morango;Topo Chico;Marca
Topo Chico Abacaxi;Topo Chico;Marca
Topo Chico Manga;Topo Chico;Marca
White Horse;White Horse;Marca
Ypioca Prata;Ypioca;Marca
Ypioca Ouro;Ypioca;Marca
Ypioca Reserva;Ypioca;Marca
Amendoim;Alimentos;Categoria
Balas e Gomas;Alimentos;Categoria
Cerveja Craft;Cerveja;Categoria
Cerveja Economy;Cerveja;Categoria
Cerveja Mainstream;Cerveja;Categoria
Cerveja Premium;Cerveja;Categoria
Outros CSDs;CSD;Categoria
CSD Colas;CSD;Categoria
CSD Sabores;CSD;Categoria
Agua;NCB;Categoria
Agua de Coco;NCB;Categoria
Cha;NCB;Categoria
Energetico;NCB;Categoria
Hidrotonico;NCB;Categoria
Isotonico;NCB;Categoria
Soja;NCB;Categoria
Suco;NCB;Categoria
Aperitivo;Spirits;Categoria
Cachaça;Spirits;Categoria
Conhaque;Spirits;Categoria
Drinks Prontos;Spirits;Categoria
Gin;Spirits;Categoria
Licor;Spirits;Categoria
Vinho;Spirits;Categoria
Vodka;Spirits;Categoria
Whisky;Spirits;Categoria
Bag in Box;Descartavel;Embalagem
Copo Plastico;Descartavel;Embalagem
Display;Descartavel;Embalagem
Dual Pet;Descartavel;Embalagem
Lata;Descartavel;Embalagem
Lata Sleek;Descartavel;Embalagem
Latao;Descartavel;Embalagem
Long Neck;Descartavel;Embalagem
Mini Lata;Descartavel;Embalagem
Mini Pet;Descartavel;Embalagem
Monopeça;Descartavel;Embalagem
Pet;Descartavel;Embalagem
Slab;Descartavel;Embalagem
Stick;Descartavel;Embalagem
Tetrapack;Descartavel;Embalagem
Vidro NR;Descartavel;Embalagem
Keg;Retornavel;Embalagem
KS;Retornavel;Embalagem
Litrao;Retornavel;Embalagem
LS;Retornavel;Embalagem
Refpet;Retornavel;Embalagem
RGB 600;Retornavel;Embalagem
600;Consumo Futuro (MS);Tipo Consumo
700;Consumo Futuro (MS);Tipo Consumo
750;Consumo Futuro (MS);Tipo Consumo
900;Consumo Futuro (MS);Tipo Consumo
965;Consumo Futuro (MS);Tipo Consumo
998;Consumo Futuro (MS);Tipo Consumo
1000;Consumo Futuro (MS);Tipo Consumo
1500;Consumo Futuro (MS);Tipo Consumo
2000;Consumo Futuro (MS);Tipo Consumo
2250;Consumo Futuro (MS);Tipo Consumo
2500;Consumo Futuro (MS);Tipo Consumo
3000;Consumo Futuro (MS);Tipo Consumo
5000;Consumo Futuro (MS);Tipo Consumo
200;Consumo Imediato (SS);Tipo Consumo
220;Consumo Imediato (SS);Tipo Consumo
250;Consumo Imediato (SS);Tipo Consumo
260;Consumo Imediato (SS);Tipo Consumo
269;Consumo Imediato (SS);Tipo Consumo
275;Consumo Imediato (SS);Tipo Consumo
290;Consumo Imediato (SS);Tipo Consumo
300;Consumo Imediato (SS);Tipo Consumo
310;Consumo Imediato (SS);Tipo Consumo
330;Consumo Imediato (SS);Tipo Consumo
335;Consumo Imediato (SS);Tipo Consumo
350;Consumo Imediato (SS);Tipo Consumo
355;Consumo Imediato (SS);Tipo Consumo
400;Consumo Imediato (SS);Tipo Consumo
450;Consumo Imediato (SS);Tipo Consumo
473;Consumo Imediato (SS);Tipo Consumo
500;Consumo Imediato (SS);Tipo Consumo
510;Consumo Imediato (SS);Tipo Consumo
591;Consumo Imediato (SS);Tipo Consumo
600;Consumo Imediato (SS);Tipo Consumo
1000;Consumo Imediato (SS);Tipo Consumo
5000;Consumo Imediato (SS);Tipo Consumo
10000;Consumo Imediato (SS);Tipo Consumo
18000;Consumo Imediato (SS);Tipo Consumo
30000;Consumo Imediato (SS);Tipo Consumo
50000;Consumo Imediato (SS);Tipo Consumo
N/D;Não-Bebida;Tipo Consumo
Agua Com Gas;Grupo de Sabor;Agrupamentos
Agua Sem Gas;Grupo de Sabor;Agrupamentos
Leites;Grupo de Sabor;Agrupamentos
Refrescos;Grupo de Sabor;Agrupamentos
Nectares;Grupo de Sabor;Agrupamentos
Original;Grupo de Sabor;Agrupamentos
Sabores;Grupo de Sabor;Agrupamentos
Colas;Grupo de Sabor;Agrupamentos
Sem Alcool;Grupo de Sabor;Agrupamentos
Chopp;Grupo de Sabor;Agrupamentos
Guaranás;Grupo de Sabor;Agrupamentos
Low Cal;Grupo de Calorias;Agrupamentos
Regular;Grupo de Calorias;Agrupamentos
Entry Pack;Grupo de Consumo;Agrupamentos
Pivot;Grupo de Consumo;Agrupamentos
Upsize;Grupo de Consumo;Agrupamentos
