Data Calendario;Rotatividade pelo Calendario
24/05/2022;1ª Semana Quinzena
25/05/2022;1ª Semana Quinzena
26/05/2022;1ª Semana Quinzena
27/05/2022;1ª Semana Quinzena
28/05/2022;1ª Semana Quinzena
29/05/2022;1ª Semana Quinzena
30/05/2022;2ª Semana Quinzena
31/05/2022;2ª Semana Quinzena
01/06/2022;2ª Semana Quinzena
02/06/2022;2ª Semana Quinzena
03/06/2022;2ª Semana Quinzena
04/06/2022;2ª Semana Quinzena
05/06/2022;2ª Semana Quinzena
06/06/2022;1ª Semana Quinzena
07/06/2022;1ª Semana Quinzena
08/06/2022;1ª Semana Quinzena
09/06/2022;1ª Semana Quinzena
10/06/2022;1ª Semana Quinzena
11/06/2022;1ª Semana Quinzena
12/06/2022;1ª Semana Quinzena
13/06/2022;2ª Semana Quinzena
14/06/2022;2ª Semana Quinzena
15/06/2022;2ª Semana Quinzena
16/06/2022;2ª Semana Quinzena
17/06/2022;2ª Semana Quinzena
18/06/2022;2ª Semana Quinzena
19/06/2022;2ª Semana Quinzena
20/06/2022;1ª Semana Quinzena
21/06/2022;1ª Semana Quinzena
22/06/2022;1ª Semana Quinzena
23/06/2022;1ª Semana Quinzena
24/06/2022;1ª Semana Quinzena
25/06/2022;1ª Semana Quinzena
26/06/2022;1ª Semana Quinzena
27/06/2022;2ª Semana Quinzena
28/06/2022;2ª Semana Quinzena
29/06/2022;2ª Semana Quinzena
30/06/2022;2ª Semana Quinzena
01/07/2022;2ª Semana Quinzena
02/07/2022;2ª Semana Quinzena
03/07/2022;2ª Semana Quinzena
04/07/2022;1ª Semana Quinzena
05/07/2022;1ª Semana Quinzena
06/07/2022;1ª Semana Quinzena
07/07/2022;1ª Semana Quinzena
08/07/2022;1ª Semana Quinzena
09/07/2022;1ª Semana Quinzena
10/07/2022;1ª Semana Quinzena
11/07/2022;2ª Semana Quinzena
12/07/2022;2ª Semana Quinzena
13/07/2022;2ª Semana Quinzena
14/07/2022;2ª Semana Quinzena
15/07/2022;2ª Semana Quinzena
16/07/2022;2ª Semana Quinzena
17/07/2022;2ª Semana Quinzena
18/07/2022;1ª Semana Quinzena
19/07/2022;1ª Semana Quinzena
20/07/2022;1ª Semana Quinzena
21/07/2022;1ª Semana Quinzena
22/07/2022;1ª Semana Quinzena
23/07/2022;1ª Semana Quinzena
24/07/2022;1ª Semana Quinzena
25/07/2022;2ª Semana Quinzena
26/07/2022;2ª Semana Quinzena
27/07/2022;2ª Semana Quinzena
28/07/2022;2ª Semana Quinzena
29/07/2022;2ª Semana Quinzena
30/07/2022;2ª Semana Quinzena
31/07/2022;2ª Semana Quinzena
01/08/2022;1ª Semana Quinzena
02/08/2022;1ª Semana Quinzena
03/08/2022;1ª Semana Quinzena
04/08/2022;1ª Semana Quinzena
05/08/2022;1ª Semana Quinzena
06/08/2022;1ª Semana Quinzena
07/08/2022;1ª Semana Quinzena
08/08/2022;2ª Semana Quinzena
09/08/2022;2ª Semana Quinzena
10/08/2022;2ª Semana Quinzena
11/08/2022;2ª Semana Quinzena
12/08/2022;2ª Semana Quinzena
13/08/2022;2ª Semana Quinzena
14/08/2022;2ª Semana Quinzena
15/08/2022;1ª Semana Quinzena
16/08/2022;1ª Semana Quinzena
17/08/2022;1ª Semana Quinzena
18/08/2022;1ª Semana Quinzena
19/08/2022;1ª Semana Quinzena
20/08/2022;1ª Semana Quinzena
21/08/2022;1ª Semana Quinzena
22/08/2022;2ª Semana Quinzena
23/08/2022;2ª Semana Quinzena
24/08/2022;2ª Semana Quinzena
25/08/2022;2ª Semana Quinzena
26/08/2022;2ª Semana Quinzena
27/08/2022;2ª Semana Quinzena
28/08/2022;2ª Semana Quinzena
29/08/2022;1ª Semana Quinzena
30/08/2022;1ª Semana Quinzena
31/08/2022;1ª Semana Quinzena
01/09/2022;1ª Semana Quinzena
02/09/2022;1ª Semana Quinzena
03/09/2022;1ª Semana Quinzena
04/09/2022;1ª Semana Quinzena
05/09/2022;2ª Semana Quinzena
06/09/2022;2ª Semana Quinzena
07/09/2022;2ª Semana Quinzena
08/09/2022;2ª Semana Quinzena
09/09/2022;2ª Semana Quinzena
10/09/2022;2ª Semana Quinzena
11/09/2022;2ª Semana Quinzena
12/09/2022;1ª Semana Quinzena
13/09/2022;1ª Semana Quinzena
14/09/2022;1ª Semana Quinzena
15/09/2022;1ª Semana Quinzena
16/09/2022;1ª Semana Quinzena
17/09/2022;1ª Semana Quinzena
18/09/2022;1ª Semana Quinzena
19/09/2022;2ª Semana Quinzena
20/09/2022;2ª Semana Quinzena
21/09/2022;2ª Semana Quinzena
22/09/2022;2ª Semana Quinzena
23/09/2022;2ª Semana Quinzena
24/09/2022;2ª Semana Quinzena
25/09/2022;2ª Semana Quinzena
26/09/2022;1ª Semana Quinzena
27/09/2022;1ª Semana Quinzena
28/09/2022;1ª Semana Quinzena
29/09/2022;1ª Semana Quinzena
30/09/2022;1ª Semana Quinzena
01/10/2022;1ª Semana Quinzena
02/10/2022;1ª Semana Quinzena
03/10/2022;2ª Semana Quinzena
04/10/2022;2ª Semana Quinzena
05/10/2022;2ª Semana Quinzena
06/10/2022;2ª Semana Quinzena
07/10/2022;2ª Semana Quinzena
08/10/2022;2ª Semana Quinzena
09/10/2022;2ª Semana Quinzena
10/10/2022;1ª Semana Quinzena
11/10/2022;1ª Semana Quinzena
12/10/2022;1ª Semana Quinzena
13/10/2022;1ª Semana Quinzena
14/10/2022;1ª Semana Quinzena
15/10/2022;1ª Semana Quinzena
16/10/2022;1ª Semana Quinzena
17/10/2022;2ª Semana Quinzena
18/10/2022;2ª Semana Quinzena
19/10/2022;2ª Semana Quinzena
20/10/2022;2ª Semana Quinzena
21/10/2022;2ª Semana Quinzena
22/10/2022;2ª Semana Quinzena
23/10/2022;2ª Semana Quinzena
24/10/2022;1ª Semana Quinzena
25/10/2022;1ª Semana Quinzena
26/10/2022;1ª Semana Quinzena
27/10/2022;1ª Semana Quinzena
28/10/2022;1ª Semana Quinzena
29/10/2022;1ª Semana Quinzena
30/10/2022;1ª Semana Quinzena
31/10/2022;2ª Semana Quinzena
01/11/2022;2ª Semana Quinzena
02/11/2022;2ª Semana Quinzena
03/11/2022;2ª Semana Quinzena
04/11/2022;2ª Semana Quinzena
05/11/2022;2ª Semana Quinzena
06/11/2022;2ª Semana Quinzena
07/11/2022;1ª Semana Quinzena
08/11/2022;1ª Semana Quinzena
09/11/2022;1ª Semana Quinzena
10/11/2022;1ª Semana Quinzena
11/11/2022;1ª Semana Quinzena
12/11/2022;1ª Semana Quinzena
13/11/2022;1ª Semana Quinzena
14/11/2022;2ª Semana Quinzena
15/11/2022;2ª Semana Quinzena
16/11/2022;2ª Semana Quinzena
17/11/2022;2ª Semana Quinzena
18/11/2022;2ª Semana Quinzena
19/11/2022;2ª Semana Quinzena
20/11/2022;2ª Semana Quinzena
21/11/2022;1ª Semana Quinzena
22/11/2022;1ª Semana Quinzena
23/11/2022;1ª Semana Quinzena
24/11/2022;1ª Semana Quinzena
25/11/2022;1ª Semana Quinzena
26/11/2022;1ª Semana Quinzena
27/11/2022;1ª Semana Quinzena
28/11/2022;2ª Semana Quinzena
29/11/2022;2ª Semana Quinzena
30/11/2022;2ª Semana Quinzena
01/12/2022;2ª Semana Quinzena
02/12/2022;2ª Semana Quinzena
03/12/2022;2ª Semana Quinzena
04/12/2022;2ª Semana Quinzena
05/12/2022;1ª Semana Quinzena
06/12/2022;1ª Semana Quinzena
07/12/2022;1ª Semana Quinzena
08/12/2022;1ª Semana Quinzena
09/12/2022;1ª Semana Quinzena
10/12/2022;1ª Semana Quinzena
11/12/2022;1ª Semana Quinzena
12/12/2022;2ª Semana Quinzena
13/12/2022;2ª Semana Quinzena
14/12/2022;2ª Semana Quinzena
15/12/2022;2ª Semana Quinzena
16/12/2022;2ª Semana Quinzena
17/12/2022;2ª Semana Quinzena
18/12/2022;2ª Semana Quinzena
19/12/2022;1ª Semana Quinzena
20/12/2022;1ª Semana Quinzena
21/12/2022;1ª Semana Quinzena
22/12/2022;1ª Semana Quinzena
23/12/2022;1ª Semana Quinzena
24/12/2022;1ª Semana Quinzena
25/12/2022;1ª Semana Quinzena
26/12/2022;2ª Semana Quinzena
27/12/2022;2ª Semana Quinzena
28/12/2022;2ª Semana Quinzena
29/12/2022;2ª Semana Quinzena
30/12/2022;2ª Semana Quinzena
31/12/2022;2ª Semana Quinzena
